time,1_28,1_30,2_7,2_10,2_17,2_23,reflection,other
1,18520510,0,0,0,0,0,0,4532
2,294667500,0,0,0,0,0,0,8714375
3,433701317,571740,0,0,0,0,0,5041747
4,301677770,51865350,0,0,0,0,0,4048337
5,170811338,26690116,0,0,0,0,0,1855236
6,184857680,17514605,0,0,0,0,0,379442
7,185072594,6877194,0,0,0,0,0,241596
8,211781542,3216825,0,0,0,0,0,269536
9,153904147,1253028,0,0,0,0,0,147794
10,174819022,1350270,0,0,0,0,0,89864
11,252559249,784394,5510632,0,0,0,10024258,4645635
12,203302116,341664,333252664,0,0,0,3408785,5160386
13,187084621,261290,54514613,0,0,0,1697324,9214292
14,219235486,268922,57868119,404093283,0,49216,436194,2951597
15,275146503,178130,47642559,1084517909,0,0,236384,1507904
16,132663323,66468,32725853,211933107,0,0,100420,905646
17,106534920,53350,28463482,109198390,0,0,89928,349214
18,101249043,104836,22948415,108884797,0,46,30218,325068
19,260238101,167282,89733428,146987556,130,14,8342,1663651
20,195053258,155912,114467828,151406118,74,0,6414,46402416
21,220578757,60012,96756989,126637319,2274606644,0,3105517,30345684
22,188005878,45022,32944329,55602413,984333069,0,1245125,5813103
23,198305921,19756,27544610,44015321,378404329,0,322260,5034400
24,141828404,18448,23432132,35994937,239092320,0,170678,3463217
25,215338215,90474,30629315,36848977,290431245,154,102026,6253532
26,188970240,14212,19812321,21432184,231050934,16,28346,5092235
27,174722531,127064,20045203,30446376,160083478,2608342524,217076840,12334555
28,88375345,85116,8917548,15232602,82653315,527432905,190209748,6396550
29,49636491,29690,3844111,9301461,36256389,90284802,28144050,4179765
30,54940909,10378,3875410,10233239,40611398,51347862,11473480,1793017
31,72462967,14398,4321122,13468538,31518883,52315634,5269122,1631174
32,32825539,5068,9500141,7265296,13769207,26504900,5217944,4369824
