time,1_28,1_30,2_7,2_10,2_17,2_23,reflection,other
1,610,0,0,0,0,0,0,2
2,8453,0,0,0,0,0,0,48
3,8557,4,0,0,0,0,0,79
4,5313,499,0,0,0,0,0,27
5,2972,104,0,0,0,0,0,13
6,3198,87,0,0,0,0,0,8
7,3049,74,0,0,0,0,0,6
8,2934,42,0,0,0,0,0,4
9,2425,20,0,0,0,0,0,5
10,2892,55,0,0,0,0,0,3
11,3925,30,181,0,0,0,65,115
12,2538,23,6933,0,0,0,10,59
13,1830,16,834,1,0,0,5,40
14,2812,13,913,14696,1,1,1,17
15,2510,16,722,12462,0,0,0,19
16,1724,12,517,1719,0,0,0,13
17,1825,16,562,1304,0,0,0,5
18,1771,8,571,1209,0,1,0,8
19,3499,21,1299,1682,0,0,0,36
20,4466,41,2150,2233,2,0,2,344
21,3148,15,1142,1788,39196,0,30,187
22,2006,9,797,971,5438,0,5,72
23,2449,18,1078,1297,3660,0,10,298
24,2297,17,909,1225,3695,0,1,308
25,2840,22,1205,1300,4682,0,0,940
26,2436,3,873,922,3452,0,1,519
27,4338,32,732,2281,3016,32632,3295,303
28,1567,10,349,671,870,1481,1179,120
29,836,7,189,354,526,255,110,119
30,709,5,179,310,445,136,57,91
31,782,1,169,261,381,99,22,68
32,606,2,161,245,317,74,18,64
