time,1_28,1_30,2_7,2_10,2_17,2_23,reflection,other
1,31730,0,0,0,0,0,0,3
2,241626,0,1,0,0,0,0,1641
3,266982,87,1,0,0,0,0,1356
4,85631,12573,0,0,0,0,0,677
5,117451,4478,0,0,0,0,0,126
6,190046,16080,0,0,0,0,0,71
7,126201,2418,0,0,0,0,0,59
8,119118,1081,0,0,0,0,0,137
9,135249,568,0,0,0,0,0,120
10,178710,1134,0,1,0,0,0,124
11,173732,948,57702,2,0,0,2081,1179
12,133669,411,106610,3,0,0,329,3051
13,200689,335,34536,36,1,0,83,9901
14,183864,398,38838,145169,4,25,47,959
15,101881,285,21452,220195,2,1,40,204
16,71265,336,21399,105061,3,0,30,159
17,58489,385,33193,61671,0,0,20,61
18,76822,265,29868,66341,0,1,9,130
19,309716,768,213070,92192,3,0,2,3478
20,192479,2000,109028,95519,3,0,10,55327
21,208861,1777,54982,72117,1667520,0,203,14669
22,177827,83,41980,64748,386728,0,45,1827
23,173970,229,33110,51699,240831,0,90,1669
24,105115,181,26405,38360,147611,0,64,2412
25,238547,233,24504,47267,253414,2,24,4765
26,149433,203,15087,30989,182470,0,1,3282
27,120679,240,16356,25810,87831,754828,50294,5429
28,49276,122,8097,11371,46597,100435,30137,2113
29,40945,81,5290,9567,27632,90233,30240,1369
30,46043,55,11222,24033,53696,32466,7994,1154
31,99838,31,23576,72863,55241,83018,1768,1221
32,38541,21,20960,12120,12202,23594,1542,7860
